iter	Passed	Remaining
0	354	354613
1	649	323851
2	984	327056
3	1294	322298
4	1644	327191
5	2015	333886
6	2341	332170
7	2659	329722
8	2971	327183
9	3280	324780
10	3636	326966
11	3940	324471
12	4245	322328
13	4549	320408
14	4851	318584
15	5136	315865
16	5414	313101
17	5705	311269
18	5990	309281
19	6290	308244
20	6605	307924
21	6948	308871
22	7275	309035
23	7571	307908
24	7857	306423
25	8150	305330
26	8460	304901
27	8854	307387
28	9229	309027
29	9583	309862
30	9919	310055
31	10233	309552
32	10519	308245
33	10816	307325
34	11115	306467
35	11442	306406
36	11732	305360
37	12073	305647
38	12415	305942
39	12720	305303
40	13152	307650
41	13508	308118
42	13819	307559
43	14167	307826
44	14481	307332
45	14807	307101
46	15118	306551
47	15429	306024
48	15746	305619
49	16044	304844
50	16355	304344
51	16647	303489
52	16964	303127
53	17289	302878
54	17662	303481
55	18050	304271
56	18359	303739
57	18670	303241
58	18986	302819
59	19299	302355
60	19664	302707
61	20007	302695
62	20318	302203
63	20691	302619
64	21013	302266
65	21359	302271
66	21687	302012
67	22001	301553
68	22289	300748
69	22627	300617
70	22919	299896
71	23226	299364
72	23534	298855
73	23828	298177
74	24110	297358
75	24454	297320
76	24761	296819
77	25172	297549
78	25502	297314
79	25855	297334
80	26251	297837
81	26652	298380
82	26981	298099
83	27341	298155
84	27777	299015
85	28148	299164
86	28578	299911
87	28972	300263
88	29311	300032
89	29673	300029
90	29999	299666
91	30338	299425
92	30704	299453
93	31048	299257
94	31384	298981
95	31757	299051
96	32097	298802
97	32427	298464
98	32776	298300
99	33047	297423
100	33335	296722
101	33659	296332
102	33980	295927
103	34321	295692
104	34628	295165
105	34980	295025
106	35347	295003
107	35627	294253
108	35908	293529
109	36202	292908
110	36521	292497
111	36800	291777
112	37083	291088
113	37384	290553
114	37660	289824
115	37927	289030
116	38219	288439
117	38563	288247
118	38883	287868
119	39244	287791
120	39562	287397
121	39897	287134
122	40289	287269
123	40678	287372
124	40998	286987
125	41303	286500
126	41592	285904
127	41899	285439
128	42386	286194
129	42735	285999
130	43128	286095
